Country,City,Dish Name,Dish Details,Type,Avg Price (USD),Best For
Egypt,Luxor,Tahtalia,Sesame paste dessert with honey,Dessert,2,Snack
Egypt,Luxor,Konafa,"Shredded pastry with cheese or nuts, soaked in syrup",Dessert,3,Snack
Egypt,Port Said,Foul,Fava beans with tahini,Breakfast Dish,2,Breakfast
Egypt,Port Said,Feteer,Layered pastry with savory fillings,Main Dish,3,Breakfast
Egypt,Port Said,Sayadeya,Fish with rice and spiced tomato sauce,Main Dish,5,Dinner
Egypt,Port Said,Grilled Shrimp,Fresh shrimp with garlic and herbs,Main Dish,7,Dinner
Egypt,Port Said,Kofta,Grilled meat skewers,Main Dish,4,Dinner
Egypt,Port Said,Seafood Soup,Broth with fish and clams,Appetizer,4,Dinner
Egypt,Port Said,Sambousak,Pastries with fish or cheese,Appetizer,2,Snack
Egypt,Port Said,Basbousa,Semolina cake with syrup,Dessert,2,Snack
Egypt,Port Said,Roz Bel Laban,Rice pudding with nuts,Dessert,2,Snack
Egypt,Sharm El Sheikh,Aish Merahrah,Thin bread with fenugreek,Breakfast Dish,2,Breakfast
Egypt,Sharm El Sheikh,Grilled Snapper,Fresh fish with spices and lemon,Main Dish,7,Dinner
Egypt,Sharm El Sheikh,Kebab,Skewered meat grilled over charcoal,Main Dish,5,Dinner
Egypt,Sharm El Sheikh,Molokhia,Green leaf stew with seafood twist,Main Dish,5,Dinner
Egypt,Sharm El Sheikh,Seafood Pasta,Pasta with shrimp and squid in tomato sauce,Main Dish,6,Dinner
Egypt,Sharm El Sheikh,Feseekh,"Fermented salted fish, often with bread",Appetizer,5,Lunch
Egypt,Sharm El Sheikh,Basbousa,Sweet semolina cake with syrup,Dessert,2,Snack
Egypt,Sharm El Sheikh,Taameya,Fava bean fritters with salad,Street Food,1,Snack
Egypt,Sharm El Sheikh,Roz Bel Laban,Creamy rice pudding,Dessert,2,Snack
Egypt,Siwa,Siwan Bread,Thick flatbread baked in sand ovens,Breakfast Dish,1,Breakfast
Egypt,Siwa,Date Molasses,Sweet spread made from local dates,Breakfast Dish,2,Breakfast
Egypt,Siwa,Lamb Tagine,Slow-cooked lamb with dates and spices,Main Dish,6,Dinner
Egypt,Siwa,Kofta,Grilled minced meat with Siwan spices,Main Dish,4,Dinner
Egypt,Siwa,Bamia,Okra stew with lamb,Main Dish,5,Dinner
Egypt,Siwa,Fatta,Bread soaked in broth with meat,Main Dish,4,Lunch
Egypt,Siwa,Olive Salad,Local olives with herbs and lemon,Appetizer,2,Lunch
Egypt,Siwa,Makhtouta,Date and nut candy,Dessert,2,Snack
Egypt,Siwa,Shai Bel Tamar,Date-infused tea,Dessert,1,Snack
Greece,Athens,Moussaka,"Layered eggplant, minced meat, and béchamel sauce",Main Dish,10,Dinner
Greece,Athens,Dolmades,Grape leaves stuffed with rice and meat,Appetizer,4,Dinner
Greece,Athens,Gemista,Stuffed tomatoes or peppers with rice,Main Dish,8,Dinner
Greece,Athens,Souvlaki,Grilled meat skewers with pita and tzatziki,Street Food,4,Lunch
Greece,Athens,Fava,Yellow split pea puree with onions and olive oil,Appetizer,3,Lunch
Greece,Athens,Spanakopita,Spinach and feta pie in phyllo pastry,Main Dish,5,Lunch
Greece,Athens,Horiatiki,"Greek salad with tomatoes, cucumbers, feta",Appetizer,5,Lunch
Greece,Athens,Baklava,Layered pastry with nuts and honey,Dessert,3,Snack
Greece,Athens,Loukoumades,Fried dough balls with honey and cinnamon,Dessert,3,Snack
Greece,Chania,Boureki,Zucchini and potato pie with mizithra,Main Dish,7,Dinner
Greece,Chania,Stifado,Rabbit stew with onions and spices,Main Dish,10,Dinner
Greece,Chania,Gamopilafo,Rice cooked in meat broth,Main Dish,8,Dinner
Greece,Chania,Dakos,Barley rusk with tomato and feta,Appetizer,4,Lunch
Greece,Chania,Sfakianopita,Thin pancake with cheese filling,Main Dish,5,Lunch
Greece,Chania,Kalitsounia,Cheese or herb-filled pastries,Street Food,2,Snack
Greece,Chania,Xerotigana,Fried dough strips with honey,Dessert,3,Snack
Greece,Chania,Marathopites,Fennel herb pies,Appetizer,4,Snack
Greece,Chania,Tsikoudia,Local grape spirit,Dessert,2,Snack
Greece,Corfu,Pastitsada,Rooster in tomato sauce with pasta,Main Dish,10,Dinner
Greece,Corfu,Sofrito,Veal in garlic-wine sauce,Main Dish,9,Dinner
Greece,Corfu,Bourdeto,Spicy fish stew,Main Dish,8,Dinner
Greece,Corfu,Stifado,Beef stew with onions,Main Dish,10,Dinner
Greece,Corfu,Tzatziki,Yogurt with cucumber and garlic,Appetizer,3,Lunch
Greece,Corfu,Skordalia,Garlic potato dip,Appetizer,3,Lunch
Greece,Corfu,Kumquat Liqueur,Local citrus spirit,Dessert,4,Snack
Greece,Corfu,Fig Pie,Dried figs in pastry,Dessert,3,Snack
Greece,Corfu,Sikomaida,Fig and walnut cake,Dessert,3,Snack
Greece,Heraklion,Staka me Avga,Creamy goat milk sauce with eggs,Main Dish,7,Breakfast
Greece,Heraklion,Gamopilafo,Wedding rice with goat broth,Main Dish,8,Dinner
Greece,Heraklion,Snails with Rosemary,Stewed snails with herbs,Main Dish,9,Dinner
Greece,Heraklion,Apaki,Smoked pork with vinegar,Appetizer,5,Dinner
Greece,Heraklion,Dakos,Barley rusk with tomatoes and mizithra cheese,Appetizer,4,Lunch
Greece,Heraklion,Horta,Boiled wild greens with olive oil,Appetizer,4,Lunch
Greece,Heraklion,Kalitsounia,Small pies with cheese or greens,Street Food,2,Snack
Greece,Heraklion,Rizogalo,Rice pudding with cinnamon,Dessert,3,Snack
Greece,Heraklion,Loukoumades,Honey-drizzled fried dough,Dessert,3,Snack
Greece,Ioannina,Frog Legs,Fried frog legs with garlic,Main Dish,9,Dinner
Greece,Ioannina,Trout with Herbs,Grilled freshwater trout,Main Dish,8,Dinner
Greece,Ioannina,Kontosouvli,Spit-roasted pork,Main Dish,9,Dinner
Greece,Ioannina,Pita Zoi,Cheese and leek pie,Main Dish,6,Lunch
Greece,Ioannina,Zagorisio,Meat pie with phyllo,Main Dish,7,Lunch
Greece,Ioannina,Batzina,Cornmeal pie with cheese,Main Dish,5,Lunch
Greece,Ioannina,Galotyri,Creamy sheep’s cheese spread,Appetizer,4,Snack
Greece,Ioannina,Karydopita,Walnut cake with syrup,Dessert,3,Snack
Greece,Ioannina,Tsipouro,Local grape spirit,Dessert,2,Snack
Greece,Nafplio,Gargales,Handmade pasta with burnt butter,Main Dish,7,Dinner
Greece,Nafplio,Kleftiko,Slow-cooked lamb in parchment,Main Dish,10,Dinner
Greece,Nafplio,Dolmades,Rice-stuffed grape leaves,Appetizer,4,Dinner
Greece,Nafplio,Pastitsio,Pasta with meat and béchamel,Main Dish,9,Dinner
Greece,Nafplio,Horiatiki,Greek salad with feta,Appetizer,5,Lunch
Greece,Nafplio,Souvlaki,Grilled meat skewers with pita,Street Food,4,Lunch
Greece,Nafplio,Galaktoboureko,Custard pie with syrup,Dessert,3,Snack
Greece,Nafplio,Tiropita,Cheese pie,Street Food,2,Snack
Greece,Nafplio,Baklava,Nut-filled pastry with honey,Dessert,3,Snack
Greece,Patras,Soutzoukakia,Spiced meatballs in tomato sauce,Main Dish,8,Dinner
Greece,Patras,Kleftiko,Slow-cooked lamb with herbs,Main Dish,10,Dinner
Greece,Patras,Pastitsio,Baked pasta with meat and béchamel,Main Dish,9,Dinner
Greece,Patras,Mavrodafni Soup,Sweet wine-based soup with spices,Main Dish,6,Lunch
Greece,Patras,Fava,Split pea puree with olive oil,Appetizer,3,Lunch
Greece,Patras,Tiropita,Cheese pie in phyllo,Street Food,2,Snack
Greece,Patras,Loukoumades,Fried dough with honey,Dessert,3,Snack
Greece,Patras,Saganaki,Fried cheese appetizer,Appetizer,5,Snack
Greece,Patras,Galaktoboureko,Custard pie with syrup,Dessert,3,Snack
Greece,Rhodes,Kapamas,Goat stew with cinnamon,Main Dish,10,Dinner
Greece,Rhodes,Symi Shrimp,Tiny fried shrimp,Main Dish,8,Dinner
Greece,Rhodes,Revithia,Baked chickpeas with onions,Main Dish,6,Dinner
Greece,Rhodes,Dolmades,Stuffed grape leaves,Appetizer,4,Dinner
Greece,Rhodes,Pitaroudia,Chickpea fritters with herbs,Appetizer,4,Lunch
Greece,Rhodes,Ladopita,Olive oil pie with greens,Main Dish,5,Lunch
Greece,Rhodes,Horiatiki,Traditional Greek salad,Appetizer,5,Lunch
Greece,Rhodes,Melekouni,Sesame and honey bars,Dessert,2,Snack
Greece,Rhodes,Koulourakia,Butter cookies with sesame,Dessert,2,Snack
Greece,Thessaloniki,Koulouri,Sesame seed bread ring,Street Food,1,Breakfast
Greece,Thessaloniki,Bouyiourdi,Baked feta with tomatoes and peppers,Appetizer,5,Dinner
Greece,Thessaloniki,Soutzoukakia,Spiced meatballs in tomato sauce,Main Dish,8,Dinner
Greece,Thessaloniki,Mydia Saganaki,Mussels in tomato and feta sauce,Main Dish,9,Dinner
Greece,Thessaloniki,Ladopita,Olive oil pie with herbs,Main Dish,4,Lunch
Greece,Thessaloniki,Patsas,Tripe soup with garlic and vinegar,Main Dish,6,Lunch
Greece,Thessaloniki,Trigona Panoramatos,Triangular pastries with custard,Dessert,2,Snack
Greece,Thessaloniki,Halva,Semolina sweet with nuts,Dessert,3,Snack
Greece,Thessaloniki,Tiropita,Cheese-filled phyllo pastry,Street Food,2,Snack
Greece,Volos,Tsipouro Meze,Seafood snacks with tsipouro,Appetizer,6,Dinner
Greece,Volos,Spetzofai,Sausage and pepper stew,Main Dish,8,Dinner
Greece,Volos,Mydia,Mussels steamed with wine,Main Dish,7,Dinner
Greece,Volos,Fasolada,White bean soup with tomatoes,Main Dish,5,Lunch
Greece,Volos,Kreatopita,Meat pie with phyllo,Main Dish,6,Lunch
Greece,Volos,Tiropita,Cheese-filled phyllo pie,Street Food,2,Snack
Greece,Volos,Loukoumades,Honey-drizzled dough balls,Dessert,3,Snack
Greece,Volos,Halva,Semolina dessert with nuts,Dessert,3,Snack
Greece,Volos,Saganaki,Fried cheese,Appetizer,5,Snack
Italy,Bari,Orecchiette alle Cime di Rapa,Ear-shaped pasta with turnip greens,Main Dish,7,Dinner
Italy,Bari,Braciole,Beef rolls in tomato sauce,Main Dish,9,Dinner
Italy,Bari,Pesce Crudo,Raw seafood platter,Appetizer,10,Dinner
Italy,Bari,Tiella,"Baked rice, potatoes, and mussels",Main Dish,8,Lunch
Italy,Bari,Pasta al Forno,Baked pasta with meatballs,Main Dish,8,Lunch
Italy,Bari,Focaccia Barese,Tomato-topped flatbread,Street Food,3,Snack
Italy,Bari,Sgagliozze,Fried polenta squares,Street Food,2,Snack
Italy,Bari,Sporcamuss,Puff pastry with custard,Dessert,2,Snack
Italy,Bari,Panzerotti,Fried stuffed pastries,Street Food,3,Snack
