Country,City,Scam Type,Description,Location,Prevention Tips,,,
Egypt,various,Overpriced Entrance Tickets,Fake ticket sellers near attractions sell invalid or overpriced tickets.,"Pyramids of Giza, Luxor temples",Only buy tickets at official counters. Avoid scalpers.,,,
Egypt,various,Fake Perfume Shops,"Shops sell fake ""pure"" perfumes or essential oils that are diluted and overpriced.","Cairo, Luxor, tourist markets","Stick to reputable, certified shops.",,,
Egypt,various,Overpriced Boat Tours,"Operators quote cheap trips on feluccas or motorboats but demand extra mid-trip for food, docking, or other services.","Aswan, Luxor, Nile areas",Settle on a full price before the trip.,,,
Egypt,various,"""Friendly Local Scam""","A local offers to ""show you around"" but later demands a hefty payment.","Khan El Khalili, Giza, Luxor markets",Politely decline unsolicited assistance.,,,
Egypt,various,Snorkeling Equipment Scam,Shops rent poor-quality snorkeling gear and blame tourists for damages.,Red Sea resorts like Sharm El-Sheikh,Inspect rental equipment and document its condition. Consider bringing your own gear.,,,
Egypt,various,Street Food Overcharge,Vendors charge tourists inflated prices for basic items like falafel or water.,"Tourist-heavy areas (Cairo, Luxor, Alexandria)",Confirm the price beforehand or watch locals order for reference.,,,
Egypt,various,"Luggage ""Helpers""","Airport or hotel staff offer to carry luggage, then demand excessive tips.","Airports, train stations",Politely refuse help unless necessary. Pay a small tip if you accept assistance.,,,
Egypt,various,Fake Museum Tickets,Scammers sell fake tickets to museums or historic sites.,Outside major museums like the Egyptian Museum,Purchase tickets only at official counters.,,,
Egypt,various,Haggling Scam,"Vendors overinflate prices for tourists during negotiations, refusing to lower to reasonable amounts.","Khan El Khalili, Luxor markets, tourist bazaars",Always haggle; start at one-third of the asking price. Walk away if prices seem unreasonable.,,,
Egypt,various,"""Gift for a Friend"" Scam","A local asks for money or goods for a sick relative or friend, then uses the cash for personal gain.",Nationwide,Politely decline such requests.,,,
Egypt,various,Visa On Arrival Scam,Scammers at airports claim tourists need help obtaining visas and charge extra fees.,"Cairo International Airport, Hurghada Airport","Process your visa directly at the official counter. Ignore offers of ""assistance.""",,,
Egypt,various,Fake Currency Exchange,Fake money changers offer to exchange currencies but provide fake or undervalued currency.,Tourist areas and markets,Use official currency exchange bureaus or banks.,,,
Egypt,various,Shady ATM Machines,Scammers manipulate ATMs to steal card information.,Tourist-heavy areas across Egypt,"Use ATMs inside banks or hotels, and cover the keypad when entering your PIN.",,,
Egypt,various,"ATM ""Helpers""","Strangers offer to ""help"" tourists use ATMs, then steal card details or cash.","Cairo, Luxor, Aswan","Refuse help at ATMs and only use machines in secure locations, such as inside banks or hotels.",,,
Egypt,various,Fake Antiquities Scam,Vendors sell fake ancient artifacts claiming they are genuine antiquities.,"Luxor, Aswan, Cairo markets","Avoid buying ""antiquities"" from street vendors or markets. Authentic items are heavily regulated and should only be purchased from authorized sellers.",,,
Egypt,various,Scam Charity Donations,"Locals ask for donations for ""orphanages"" or schools that don’t exist, using emotional stories to pressure tourists.",Nationwide,Politely decline and research reputable organizations if you wish to donate.,,,
Egypt,various,"""Special Photo Fee"" Scam","After taking a photo of a tourist or showing them a good spot, locals demand payment.","Giza, Luxor, Aswan",Clarify if the photo opportunity is free beforehand or avoid engaging.,,,
Egypt,various,"""My Family Business"" Scam","Drivers or guides insist on taking tourists to ""family"" shops for carpets, jewelry, or oils, where tourists are pressured into buying overpriced items.","Cairo, Luxor, Aswan",Firmly refuse detours to shops unless you are genuinely interested.,,,
Egypt,various,Inflated Hotel Tips,Hotel staff may demand excessive tips for carrying luggage or providing basic services like room delivery.,Major tourist cities,"Tip reasonably (small denominations are appreciated), but don’t overpay.",,,
Egypt,various,Fake Jewelry Shops,"Vendors sell low-quality or counterfeit gold, silver, or gemstones while claiming authenticity.","Cairo, Luxor, Aswan",Research reputable shops in advance and avoid impulsive purchases.,,,
Egypt,various,"""No Change"" Scam","Vendors claim they don’t have smaller bills or coins, pocketing the full amount if tourists don’t insist on exact change.",Markets and tourist attractions,Carry small denominations and insist on receiving proper change.,,,
Egypt,various,Unmetered Minibuses,Minibus drivers charge inflated fares or leave tourists stranded if they don’t pay extra mid-ride.,"Cairo, Alexandria",Use registered transport services or book taxis via apps. Confirm fares with locals beforehand.,,,
Egypt,various,Tea House Price Scam,Tea or coffee shop staff quote a low price but demand much higher payment after tourists have eaten or drunk.,"Tourist areas, bazaars","Confirm prices before ordering, and check the menu for hidden fees.",,,
Egypt,various,Fake Mosque Guides,"""Guides"" at mosques claim tourists need help navigating the premises and demand tips afterward.","Cairo (Al-Azhar Mosque, Ibn Tulun Mosque)",Decline offers of unsolicited guidance. Follow official signage if available.,,,
Egypt,various,Horse Rental Scam,Operators near tourist sites rent out horses or donkeys and demand inflated fees to allow tourists to dismount.,"Giza, Luxor",Negotiate clear terms before the ride and avoid unofficial operators.,,,
Egypt,various,Boat Docking Scam,"Motorboat operators take tourists to small islands or river docks, then demand extra money to return them.","Aswan, Nile River","Agree on a price for the entire trip, including the return journey.",,,
Egypt,various,"""Old Coin"" Scam","Scammers sell fake or worthless ""ancient coins"" as valuable collectibles.","Luxor, Cairo markets",Avoid buying from unverified sellers; genuine coins require permits for export.,,,
Egypt,various,"""Wrong Change"" Scam","Vendors intentionally give incorrect change, hoping tourists won’t notice.",Tourist markets across Egypt,Double-check your change immediately.,,,
Egypt,various,Fake Perfume Ingredients,Perfume sellers dilute essential oils or use synthetic substitutes while claiming authenticity.,"Cairo, Luxor, Aswan",Research certified sellers and test products carefully before purchasing.,,,
Egypt,various,"""Personalized Souvenir"" Scam","Vendors claim to make personalized items like scarabs or jewelry, but they overcharge or provide poor-quality products.",Tourist areas like Khan El Khalili,"Be wary of ""custom"" services. Agree on a price beforehand and ensure it includes all details.",,,
Egypt,various,Unlicensed Tour Operators,Unlicensed tour companies sell cheap packages but fail to deliver promised services or take tourists to substandard sites.,Nationwide,"Book tours through reputable, well-reviewed operators. Avoid last-minute deals from unknown companies.",,,
Egypt,various,Unnecessary Visa Fees,"Agents at airports or borders offer to ""help"" process visas but charge exorbitant fees for unnecessary assistance.","Cairo International Airport, borders",Obtain your visa directly at the official counter. Ignore unsolicited offers of help.,,,
Egypt,various,"Temple ""Guard Tips""","Guards at historic sites may lead tourists to ""hidden areas"" or tombs, then demand tips for the favor.","Luxor, Karnak Temple",Politely decline such offers and stick to official pathways.,,,
Egypt,various,Fake Spice Vendors,"Sellers offer low-quality or fake spices at inflated prices, claiming they are premium Egyptian goods.","Markets like Khan El Khalili, Luxor markets",Buy from well-known stores or research fair prices beforehand.,,,
Egypt,various,Photo Prop Charges,"Locals charge tourists for taking photos of camels, props, or even staged scenes without informing them beforehand of the cost.","Giza, Luxor",Ask permission and confirm any fees before taking photos.,,,
Egypt,various,"""You Dropped Something"" Scam","Someone ""returns"" a dropped item (often planted by the scammer), then demands a tip or fee.",Tourist-heavy areas,Politely refuse the returned item if it isn’t yours.,,,
Egypt,various,Hotel Overcharging,"Hotels may add extra charges to bills, such as for ""mandatory tips"" or unrequested services.","Cairo, Luxor, tourist hotspots",Always confirm the full cost at check-in and review your bill thoroughly before payment.,,,
Egypt,various,"""Sob Story"" Scams",Locals share emotional stories about family tragedies to solicit money or free items from tourists.,Nationwide,Politely decline and avoid engaging emotionally.,,,
Tunisia,Tunis,Fake Tour Guides,"Scammers pose as official guides, offering overpriced or misleading tours.","Medina of Tunis, Zitouna Mosque",Book tours through official agencies.,,,
Tunisia,Tunis,Taxi Overcharging,"Drivers refuse to use meters, charging high fares.","Tunis-Carthage Airport, Medina",Use metered taxis or rideshare apps.,,,
Tunisia,Tunis,"""Free Gift"" Scam","Locals hand out free bracelets or flowers, then demand payment.","Medina, Avenue Habib Bourguiba",Politely refuse and walk away.,,,
Tunisia,Hammamet,Beach Camel Ride Scam,Tourists are charged extra to dismount from camels.,Hammamet Beach,Agree on full price before riding.,,,
Tunisia,Sousse,Fake Police Officers,Scammers posing as police demand bribes.,"Near bars, clubs, tourist areas",Ask for official ID and refuse to pay.,,,
Tunisia,Sousse,Fake Hotel Booking,Online hotel bookings turn out to be scams.,Various,Use reputable booking sites and confirm reservations directly.,,,
Tunisia,Monastir,"""Helpful"" Locals Scam","Strangers offer help, then demand money.","Monastir Marina, Ribat of Monastir",Politely decline assistance.,,,
Tunisia,Djerba,Fake Carpet Sellers,"Shops sell low-quality carpets as ""antiques"" at high prices.",Houmt Souk markets,Research fair prices beforehand.,,,
Tunisia,Tunis,Fake Currency Scam,Vendors claim your bills are fake and ask for new payment.,"Souks, taxis, small shops",Exchange money only at banks.,,,
Tunisia,Kairouan,"""Entrance Fee"" Scam",Locals demand money for sites that are actually free.,Grand Mosque of Kairouan,Verify entrance fees online.,,,
Tunisia,Tozeur,Sahara Tour Scam,Fake operators offer low-cost desert tours but provide poor service.,Tozeur city center,Book through trusted agencies.,,,
Tunisia,Sfax,Fake Henna Artists,Henna artists apply designs without consent and demand payment.,"Local markets, squares",Firmly decline before they begin.,,,
Tunisia,Tunis,Pickpocketing,Thieves use distractions to steal valuables.,"Medina, public transport",Keep bags secured and be vigilant.,,,
Tunisia,Nabeul,Fake Perfume Scam,Counterfeit perfumes sold as branded products.,"Souks, tourist shops",Buy from reputable stores only.,,,
Tunisia,Carthage,Overpriced Restaurants,Hidden fees and inflated prices in tourist restaurants.,Near historical sites,Check prices beforehand.,,,
Tunisia,Douz,Quad Bike Scam,Operators charge extra for pre-existing damages.,Douz desert tours,Take photos before renting.,,,
Tunisia,Hammamet,Jet Ski Deposit Scam,Operators refuse to return deposits for false damage claims.,Hammamet Beach,Use well-reviewed rental companies.,,,
Tunisia,Tunis,ATM Skimming,Scammers install skimmers to steal card details.,ATMs in tourist areas,Use ATMs inside banks.,,,
Tunisia,Matmata,Fake Berber Experience,"Fake ""authentic"" Berber homes overcharge for entry.",Matmata,Research real Berber experiences.,,,
Tunisia,Tunis,Fake Train Tickets,Scammers sell fake train tickets outside stations.,Tunis Central Station,Buy tickets only at official counters.,,,
Tunisia,Sousse,Overpriced Tourists Shops,Stores charge tourists 5–10x the local price.,"Souks, markets",Bargain aggressively and compare prices.,,,
Tunisia,Tunis,Fake Charities,Scammers ask for donations for non-existent charities.,"Tourist streets, cafes",Donate only to verified organizations.,,,
Tunisia,Djerba,Fake Beggars,People pretend to be in distress to get money.,"Markets, mosques",Be cautious of overly dramatic stories.,,,
Tunisia,Kairouan,Overpriced Taxi to Sites,Taxi drivers charge tourists double or triple the fare.,"Grand Mosque, Medina",Check ride prices beforehand.,,,
Tunisia,Tunis,Broken Meter Scam,Drivers claim their meter is broken and overcharge.,"Airport, hotels",Insist on a metered fare or agree on price in advance.,,,
Tunisia,Tozeur,Desert Camel Scam,Camel ride prices are suddenly raised mid-ride.,Sahara desert tours,Confirm the total price before starting.,,,
Tunisia,Monastir,"Fake ""Official"" Fees",Scammers charge fake tourist taxes at hotels.,"Budget hotels, guesthouses",Verify with hotel staff.,,,
Tunisia,Hammamet,Fake Gas Station Attendants,Attendants pretend to help but steal credit card info.,"Highways, rural roads",Pay in cash or monitor transactions.,,,
Tunisia,Tunis,Fake Wi-Fi Networks,Free Wi-Fi hotspots are used to steal data.,"Cafés, airports, hotels",Use VPNs and avoid sensitive transactions.,,,
Tunisia,Sousse,"Fake ""Lucky Coin"" Scam","Scammers offer a ""lucky coin,"" then demand money.","Medina, shopping areas",Politely refuse and walk away.,,,
Tunisia,Djerba,Fake Story Scam,Locals tell a tragic personal story and ask for cash.,Tourist hotspots,Be skeptical and avoid giving money.,,,
Tunisia,Tunis,Fake Jewelry Sellers,Street vendors sell fake silver or gold at high prices.,"Souks, medina",Buy only from reputable jewelers.,,,
Tunisia,Tozeur,"""Shortcut"" Scam","Locals suggest a shortcut, leading to unsafe areas.","City streets, alleys","Stick to well-lit, busy paths.",,,
Tunisia,Tunis,Distraction Theft,Scammers cause a distraction while an accomplice robs you.,"Markets, train stations",Stay aware of surroundings.,,,
Tunisia,Nabeul,"""Magic Trick"" Scam","Street performers entertain, then demand money aggressively.","Markets, public squares",Avoid engaging with them.,,,
Tunisia,Sfax,"Fake ""Tourist Tax"" Scam","Some shopkeepers add fake ""tourist taxes"" to bills.","Souks, restaurants",Demand an official receipt.,,,
Tunisia,Tunis,Fake Bus Ticket Sellers,Scammers sell invalid bus tickets.,Bus stations,Buy tickets from official counters.,,,
Tunisia,Kairouan,Hidden Charges on Meals,Restaurants add fake extra charges to bills.,Tourist restaurants,Check the menu prices carefully.,,,
Tunisia,Tunis,"""Broken"" ATM Scam","ATM appears broken, but scammers watch as you enter your PIN.",ATMs near tourist spots,Use ATMs inside banks only.,,,
Tunisia,Hammamet,Fake Police Asking for Fines,Scammers claim tourists broke a law and demand payment.,"Beach areas, clubs",Ask for official documentation.,,,
Tunisia,Sousse,Cheap Boat Tour Scam,Operators promise a luxury boat ride but provide a subpar experience.,"Marina, beaches",Book through a reputable service.,,,
Tunisia,Monastir,Fake Guidebook Sellers,Fake or outdated guidebooks sold at high prices.,"Tourist streets, near sites",Buy only from bookstores.,,,
Tunisia,Tunis,Overpriced Airport Transfers,Unofficial drivers charge excessively high prices.,Tunis-Carthage Airport,Use official airport taxis or pre-book transfers.,,,
Morocco,Marrakech,Fake Tour Guides,"Scammers pose as official guides, overcharging tourists or taking them to commission-based shops.","Jemaa el-Fnaa, Medina",Book guides through official tourism offices or reputable agencies.,,,
Morocco,Marrakech,Taxi Overcharging,Drivers refuse to use meters or take longer routes.,"Marrakech Menara Airport, Medina",Insist on using the meter or agree on a price before getting in.,,,
Morocco,Marrakech,"""This Street is Closed""","Locals claim streets are closed, then lead tourists to shops where they get commissions.",Medina alleyways,Ignore them and use GPS to navigate.,,,
Morocco,Fes,False Directions Scam,"A stranger offers help with directions but leads tourists to their ""friend's"" shop.",Fes Medina,Politely decline and use offline maps.,,,
Morocco,Casablanca,Fake Currency Scam,Vendors or taxi drivers claim your bill is fake and ask for another payment.,"Souks, taxis",Only exchange money at official banks.,,,
Morocco,Chefchaouen,Fake Hotel Booking,Travelers arrive to find their reservation doesn’t exist.,Online bookings,Use reputable booking sites and confirm with the hotel directly.,,,
Morocco,Marrakech,"""Free Gift"" Scam","A local gives a bracelet or a souvenir, then demands payment.",Jemaa el-Fnaa,Politely refuse and walk away.,,,
Morocco,Fes,Fake Carpet Sellers,"Shops sell cheap carpets at high prices, claiming they are antiques.",Medina of Fes,Research fair prices before shopping.,,,
Morocco,Casablanca,Pickpocketing,Thieves distract tourists to steal valuables.,"Markets, public transport",Keep bags secured and avoid carrying valuables.,,,
Morocco,Tangier,"""Helpful"" Locals","Someone offers unsolicited help, then demands a tip.",Tangier Medina,Politely decline and walk away.,,,
Morocco,Essaouira,Restaurant Overcharging,Hidden fees are added to meals.,Beachfront restaurants,Check menu prices before ordering.,,,
Morocco,Rabat,Fake Taxi Drivers,Unofficial drivers overcharge unsuspecting tourists.,Rabat-Salé Airport,Use official taxis or rideshare apps.,,,
Morocco,Marrakech,Henna Artist Scam,"Artists apply henna without permission, then demand a high fee.",Jemaa el-Fnaa,Firmly decline before they start.,,,
Morocco,Fes,Fake Tourist Tax,Some hotels add fake “tourist taxes” to the bill.,Budget hotels,Check tax policies before booking.,,,
Morocco,Merzouga,Sahara Tour Scam,Fake tour operators sell overpriced or non-existent desert tours.,Merzouga village,Book through reputable agencies.,,,
Morocco,Tangier,"""Lucky Coin"" Scam","Someone offers a ""lucky coin,"" then demands payment.","Markets, tourist areas",Avoid engaging and walk away.,,,
Morocco,Marrakech,ATM Skimming,Devices are installed on ATMs to steal card information.,ATMs near tourist spots,Use ATMs inside banks and cover your PIN.,,,
Morocco,Casablanca,Fake Wi-Fi Networks,Scammers set up fake Wi-Fi to steal personal data.,"Cafés, hotels, airports",Use a VPN and avoid logging into sensitive accounts.,,,
Morocco,Marrakech,Snake Charmer Scam,"Performers place a snake on tourists, then demand payment.",Jemaa el-Fnaa,Keep a safe distance and say no.,,,
Morocco,Marrakech,Fake Police Asking for Fines,Scammers pretend to be police and demand bribes.,"Near bars, Medina",Ask for ID and refuse to pay without proof.,,,
Morocco,Fes,Distraction Theft,Someone creates a scene while an accomplice steals your belongings.,"Crowded markets, souks",Stay alert and keep valuables secured.,,,
Morocco,Marrakech,Tea Shop Scam,"Shops invite tourists for free tea, then pressure them into buying expensive items.",Medina souks,Politely refuse invitations if unsure.,,,
Morocco,Casablanca,Overpriced Tours,Fake tour guides overcharge for basic information.,Hassan II Mosque area,Book tours in advance through verified sources.,,,
Morocco,Rabat,Cheap Leather Scam,"Vendors sell fake leather as ""genuine"" at high prices.",Medina markets,Check authenticity before buying.,,,
Morocco,Chefchaouen,Overpriced Hash Scam,Dealers sell fake or low-quality hashish to tourists.,Blue City alleys,Avoid buying illegal substances.,,,
Morocco,Tangier,Overpriced Ferry Tickets,Fake agents sell overpriced ferry tickets.,Tangier Port,Buy tickets from official counters.,,,
Morocco,Marrakech,Fake Argan Oil,Shops sell fake or diluted argan oil as pure.,"Souks, beauty stores",Buy from certified cooperatives.,,,
Morocco,Fes,Taxi Meter Scam,Drivers claim the meter is broken and charge high fares.,"Fes Airport, Medina",Use metered taxis or pre-agree on prices.,,,
Morocco,Marrakech,Quad Bike Rental Scam,Operators charge extra for pre-existing damages.,Palmeraie desert tours,Take photos before renting.,,,
Morocco,Merzouga,Camel Ride Overcharging,Tourists are charged extra fees mid-ride.,Sahara desert camps,Confirm the price before starting.,,,
Morocco,Essaouira,Fake Boat Tour,Operators promise a scenic ride but provide a poor experience.,Essaouira Port,Book through trusted companies.,,,
Morocco,Casablanca,Fake Ticket Sellers,Scalpers sell invalid train or bus tickets.,Train and bus stations,Buy tickets from official counters.,,,
Morocco,Marrakech,Fake Museum Entrance Fees,Locals charge tourists to enter free sites.,"Bahia Palace, Medina",Check official entrance fees online.,,,
Morocco,Fes,Street Performer Scam,Performers demand money aggressively after a show.,"Medina, public squares",Watch from a distance if you don’t plan to tip.,,,
Morocco,Marrakech,"""Broken"" ATM Scam","ATMs appear broken, and scammers ""help"" while stealing info.",ATM kiosks,Use bank ATMs and avoid assistance from strangers.,,,
Morocco,Tangier,Overpriced Restaurants,Restaurants inflate bills for tourists.,Tourist areas,Review the bill before paying.,,,
Morocco,Rabat,Fake Tour Agency,"Scammers operate unlicensed agencies, taking deposits without providing services.",Tourist districts,Verify agencies before booking.,,,
Morocco,Chefchaouen,"""Shortcut"" Scam",Locals direct tourists into alleys where they demand money.,Medina alleys,Stick to main streets.,,,
Morocco,Casablanca,Fake Art Sellers,Vendors sell cheap paintings as expensive artwork.,Market areas,Avoid impulsive purchases.,,,
Morocco,Marrakech,Fake Charities,People ask for donations for fake charities.,"Near mosques, streets",Donate only to verified organizations,,,
Morocco,Marrakech,Fake Charities,People ask for donations for fake charities.,"Near mosques, streets",Donate only to verified organizations.,,,
Jordan,Amman,Taxi Overcharging,"Some taxi drivers refuse to use the meter, quote high fixed prices, or take longer routes.","Queen Alia Airport, Downtown Amman","Use ride-hailing apps (Uber, Careem) or insist on using the meter.",,,
Jordan,Amman,Fake Entry Fees at The Citadel,Scammers pose as ticket sellers outside attractions and charge extra.,Amman Citadel,Buy tickets only from official booths.,,,
Jordan,Petra,“Free” Horse Ride Scam,Tourists are offered a free horse ride but are later pressured to pay high tips.,Petra Entrance,Clarify costs upfront; refuse “free” offers.,,,
Jordan,Petra,Expensive Camel/Donkey Rides,"Operators overcharge tourists, demand extra money mid-ride, or refuse to let them off until paid.",Inside Petra,Negotiate prices before starting the ride.,,,
Jordan,Petra,Fake Bedouin “Love” Scam,Some Bedouin men romance solo female travelers and later ask for money or expensive gifts.,Petra & Wadi Rum,Be cautious of overly friendly strangers.,,,
Jordan,Petra,High Restaurant Prices Without Menu,Some restaurants in Petra don’t have menus and overcharge tourists.,Restaurants near Petra entrance,Ask for a menu before ordering or confirm prices.,,,
Jordan,Wadi Rum,Fake “Bedouin Camp” Scam,Some camps advertise an authentic experience but lack real Bedouin elements and overcharge.,Wadi Rum Desert,Book through well-reviewed platforms like Booking.com.,,,
Jordan,Wadi Rum,Sudden Tour Price Increases,Some desert tour guides change the agreed price mid-tour and demand more money.,Wadi Rum Jeep Tours,Get price confirmation in writing.,,,
Jordan,Dead Sea,Beach Access Overcharging,Locals charge tourists fake entry fees to public beaches.,Public beaches near Dead Sea,Use official beach resorts for access.,,,
Jordan,Dead Sea,Fake Mud Sales,Vendors sell “Dead Sea mud” that’s regular dirt mixed with water.,Near Dead Sea beach areas,"Buy from trusted shops, not street sellers.",,,
Jordan,Jerash,Fake Tour Guides,"Unlicensed guides approach tourists, offering “free” tours but demand high tips later.",Jerash Ruins Entrance,Hire guides only from official ticket counters.,,,
Jordan,Aqaba,Fake Snorkeling & Diving Fees,Some operators charge tourists for “extra” fees that don’t exist.,"South Beach, Aqaba",Book through reputable tour operators.,,,
Jordan,Madaba,Fake Mosaic Sellers,Shops sell “handmade” mosaics that are actually mass-produced.,Tourist markets in Madaba,Buy from official workshops with proof of authenticity.,,,
Jordan,Amman,Fake Police Officers,"Scammers pose as police, asking for passports and fake fines.",Busy tourist areas in Amman,Ask for ID; refuse to give your passport.,,,
Jordan,Amman,Money Exchange Tricks,Some exchange booths use misleading rates or shortchange tourists.,Downtown Amman,Use official banks or well-known exchange offices.,,,
Jordan,Petra,Aggressive Tipping Demands,"Locals provide unsolicited help (e.g., taking photos) and demand high tips.",Petra main trail,Politely refuse unwanted assistance.,,,
Jordan,Petra,Fake Jewelry & Antique Sellers,Vendors claim to sell “ancient” jewelry that’s actually fake.,Petra Souvenirs Market,Buy from verified stores.,,,
Jordan,Amman,Restaurant Bill Inflation,Some restaurants add extra charges not listed on the menu.,Tourist-heavy restaurants in Amman,Always check the bill before paying.,,,
Jordan,Wadi Rum,Overpriced “Desert Star” Photography,"Locals charge tourists high prices to take photos of the desert sky, sometimes using basic cameras.",Wadi Rum Camps,Bring your own camera or negotiate prices beforehand.,,,
Jordan,Petra,“Shortcut” Scam,"Locals offer to take tourists through a “secret” back entrance, which is actually a dangerous, unofficial route.",Petra Back Entrance,Use only official entry points.,,,
Saudi Arabia,Riyadh,Taxi Scam,Drivers claim the meter is broken and charge inflated rates.,"Tourist spots, airports","Use official taxi services, agree on the price beforehand, and use GPS to track the route.",,,
Saudi Arabia,Jeddah,Fake Hajj Travel Agents,Online agents offer all-inclusive Hajj packages but disappear after receiving payment.,Online platforms,Book through reputable agencies and avoid upfront full payments.,,,
Saudi Arabia,Mecca,Fake Zamzam Water,Fake Zamzam water sold as genuine holy water.,Near Grand Mosque,Buy from licensed stores like Bin Dawood.,,,
Saudi Arabia,Medina,Pickpocketing,Groups of pickpockets target tourists in crowded areas.,"Masjid Al-Qiblatain, Al-Masjid an-Nabawi","Keep valuables secure, use anti-theft bags, and stay alert in crowded places.",,,
Saudi Arabia,Riyadh,Vacation Apartment Scam,Fake apartment listings on legitimate and fake websites.,Online rental platforms,"Verify listings, avoid off-platform payments, and use reputable booking sites.",,,
Saudi Arabia,Jeddah,Sad Story Scam,Individuals or families ask for money with sad stories.,"Streets, taxis","Do not give money to strangers, regardless of their story.",,,
Saudi Arabia,Mecca,Unlicensed Taxis,Fake taxis charge inflated rates.,"Airports, tourist spots",Use official taxi services and verify the driver's credentials.,,,
Saudi Arabia,Medina,Travel Scam,Overly cheap travel deals that turn out to be fraudulent.,"Online, travel agencies",Research and book through reputable travel agencies.,,,
Saudi Arabia,Riyadh,Begging Scam,Beggars ask for money with various schemes.,"Streets, tourist spots","Avoid giving money to beggars, as it may be a scam.",,,
Saudi Arabia,Jeddah,Credit Card Scam,Phone calls asking for credit card details.,Nationwide,Never share credit card details over the phone.,,,
Saudi Arabia,Mecca,Fake Bank Emails,Emails claiming to be from banks asking for personal information.,Online,Do not respond to unsolicited emails asking for personal information.,,,
Saudi Arabia,Medina,Family Visa Scam,Scammers offer quick family visas for a fee.,"Online, immigration offices",Use official channels for visa applications.,,,
Saudi Arabia,Riyadh,ATM Fraud,Suspicious activity at ATMs.,"Banks, shopping centers","Use ATMs in well-lit, secure areas and report any suspicious activity.",,,
Saudi Arabia,Jeddah,Hotel Booking Scam,Hospitality groups switch booked hotels.,"Medina, Mecca",Confirm hotel bookings directly with the hotel.,,,
Saudi Arabia,Mecca,Fake Tickets,Selling fake tickets for events or transportation.,"Tourist spots, online",Buy tickets from official sources only.,,,
Saudi Arabia,Medina,Fake Police,Individuals posing as police to extort money.,Tourist spots,Ask for identification and contact local authorities if unsure.,,,
Saudi Arabia,Riyadh,Rental Property Scam,Scams related to renting properties.,Online platforms,Verify property listings and use reputable rental services.,,,
Saudi Arabia,Jeddah,Fake Charity,Asking for donations for fake charities.,"Streets, tourist spots",Do not donate to unknown charities.,,,
Saudi Arabia,Mecca,Fake Guide,Offering guide services and then demanding extra payment.,Tourist spots,Use official tour guides and agree on the price beforehand.,,,
Saudi Arabia,Medina,Fake Souvenirs,Selling fake souvenirs as genuine.,Souvenir shops,Buy from reputable shops and check for authenticity.,,,
Saudi Arabia,Riyadh,Fake Jewelry,Selling fake jewelry as real.,Jewelry shops,Buy from reputable jewelers and check for authenticity.,,,
Saudi Arabia,Jeddah,Fake Art,Selling fake art as genuine.,Art galleries,Buy from reputable galleries and check for authenticity.,,,
Saudi Arabia,Mecca,Fake Perfume,Selling fake perfume as branded.,Perfume shops,Buy from authorized dealers and check for authenticity.,,,
Saudi Arabia,Medina,Fake Electronics,Selling fake electronics as branded.,Electronics shops,Buy from authorized dealers and check for authenticity.,,,
Saudi Arabia,Riyadh,Fake Clothing,Selling fake branded clothing.,Clothing stores,Buy from authorized dealers and check for authenticity.,,,
