Country,City,Restaurant Name,Type of Cuisine,Meals Served,Recommended Dish,Meal Description,Avg Price per Person (USD),Budget Range,Suitability
Algeria,Tlemcen,Restaurant El Mansour,Algerian,"L,D",Tajine Zitoun,Chicken with olives and lemon,20,Average,Family-friendly
Bahrain,A’ali,Al Dana A’ali,Bahraini,Dinner,Grilled Prawns,Prawns with Bahraini spices,25,Average,Couples
Bahrain,A’ali,Al Naseem A’ali,Bahraini,"Breakfast, Lunch",Harees,Wheat and meat porridge,10,Low,Family-friendly
Bahrain,A’ali,Al Reef A’ali,Bahraini,Dinner,Tikka,Grilled chicken with spices,12,Average,Friends
Bahrain,A’ali,Mat’am A’ali,Bahraini,"Lunch, Dinner",Murabba,Shrimp with rice and spices,15,Average,Family-friendly
Bahrain,A’ali,Street Bread Cart,Street Food,Breakfast,Khubz,Flatbread with za’atar,4,Low,Solo
Bahrain,Adliya,Al Bindaira,Bahraini,Dinner,Grilled Zubaidi,Pomfret fish with spices,25,Average,Couples
Bahrain,Adliya,Banana Leaf,Bahraini,Dinner,Sayadiyah,Fish with caramelized onions,18,Average,Friends
Bahrain,Adliya,Café Lilou,Bahraini,"Breakfast, Lunch",Gers Ogaily,Spiced cake with saffron,12,Average,Family-friendly
Bahrain,Adliya,Mat’am Adliya,Bahraini,"Lunch, Dinner",Machboos Dajaj,Chicken with spiced rice,15,Average,Family-friendly
Bahrain,Adliya,Street Shawarma,Street Food,Lunch,Shawarma,Grilled chicken with garlic,5,Low,Solo
Bahrain,Amwaj,Alosra Café,Bahraini,"B,L",Regag Bread,Thin crepe with egg or cheese,6,Low,Solo
Bahrain,Amwaj,Fish Basket,Bahraini Seafood,"L,D",Sayadiyah,Fish with spiced rice,30,Average,Couples
Bahrain,Budaiya,Al Dana,Bahraini,Dinner,Grilled Prawns,Prawns with Bahraini spices,25,Average,Couples
Bahrain,Budaiya,Al Naseem,Bahraini,"Breakfast, Lunch",Harees,Wheat and meat porridge,10,Low,Family-friendly
Bahrain,Budaiya,Al Reef,Bahraini,Dinner,Grilled Hammour,Fresh hammour with spices,20,Average,Friends
Bahrain,Budaiya,Mat’am Budaiya,Bahraini,"Lunch, Dinner",Murabba,Shrimp stew with rice,15,Average,Family-friendly
Bahrain,Budaiya,Street Bread Stall,Street Food,Breakfast,Khubz,Flatbread with za’atar,4,Low,Solo
Bahrain,Budaiya,Street Stall - Market,Bahraini Street Food,"B,L",Qahwa with Khubz,Coffee with flatbread,5,Low,Solo
Bahrain,Budaiya,Villa Mamas,Bahraini,D,Khabeesa,Sweet porridge with saffron,20,Average,Family-friendly
Bahrain,Durrat Al Bahrain,Al Bahar,Bahraini,Dinner,Sayadiyah,Fish with caramelized onions,18,Average,Friends
Bahrain,Durrat Al Bahrain,Al Rayan Durrat,Bahraini,Dinner,Grilled Zubaidi,Pomfret fish with spices,20,Average,Couples
Bahrain,Durrat Al Bahrain,Durrat Café,Bahraini,"Breakfast, Lunch",Gers Ogaily,Spiced cake with saffron,10,Low,Family-friendly
Bahrain,Durrat Al Bahrain,Mat’am Durrat,Bahraini,"Lunch, Dinner",Machboos Dajaj,Chicken with spiced rice,15,Average,Family-friendly
Bahrain,Durrat Al Bahrain,Street Shawarma,Street Food,Lunch,Shawarma,Grilled chicken with garlic,5,Low,Solo
Bahrain,Gudaibiya,Al Khayam,Bahraini,Dinner,Machboos Laham,Lamb with spiced rice,20,Average,Friends
Bahrain,Gudaibiya,Al Rayan,Bahraini,Dinner,Grilled Hammour,Hammour fish with spices,20,Average,Couples
Bahrain,Gudaibiya,Al Safa,Bahraini,"Breakfast, Lunch",Balaleet,Sweet vermicelli with egg,8,Low,Family-friendly
Bahrain,Gudaibiya,Mat’am Gudaibiya,Bahraini,"Lunch, Dinner",Tashreeb,Lamb stew with bread,12,Average,Family-friendly
Bahrain,Gudaibiya,Street Ful Cart,Street Food,Breakfast,Ful with Khubz,Fava beans with flatbread,4,Low,Solo
Bahrain,Hamad Town,Al Khaleej,Bahraini,Dinner,Sayadiyah,Fish with caramelized onions and rice,18,Average,Friends
Bahrain,Hamad Town,Al Safir,Bahraini,Dinner,Grilled Hammour,Hammour fish with spices,20,Average,Couples
Bahrain,Hamad Town,Al Waha,Bahraini,"Breakfast, Lunch",Gers Ogaily,Spiced cake with cardamom and saffron,10,Low,Family-friendly
Bahrain,Hamad Town,Mat’am Hamad,Bahraini,"Lunch, Dinner",Machboos Laham,Lamb with spiced rice,15,Average,Family-friendly
Bahrain,Hamad Town,Street Ful Stand,Street Food,Breakfast,Ful with Khubz,Fava beans with flatbread,4,Low,Solo
Bahrain,Isa Town,Al Jazeera,Bahraini,"Lunch, Dinner",Murabba,Shrimp with rice and Bahraini spices,15,Average,Couples
Bahrain,Isa Town,Al Noor,Bahraini,Dinner,Harees,Creamy wheat and meat dish,10,Low,Friends
Bahrain,Isa Town,Isa Café,Bahraini,"Breakfast, Lunch",Balaleet,Sweet vermicelli with egg,8,Low,Family-friendly
Bahrain,Isa Town,Mat’am Isa,Bahraini,"Lunch, Dinner",Tikka,Spiced grilled chicken with rice,12,Average,Family-friendly
Bahrain,Isa Town,Street Bread Vendor,Street Food,Breakfast,Rgaag,Thin flatbread with honey,4,Low,Solo
Bahrain,Jidhafs,Al Bustan Jidhafs,Bahraini,Dinner,Grilled Hammour,Hammour with spices,25,Average,Couples
Bahrain,Jidhafs,Al Khayam Jidhafs,Bahraini,Dinner,Machboos Laham,Lamb with spiced rice,20,Average,Friends
Bahrain,Jidhafs,Al Safa Jidhafs,Bahraini,"Breakfast, Lunch",Balaleet,Sweet vermicelli with egg,8,Low,Family-friendly
Bahrain,Jidhafs,Mat’am Jidhafs,Bahraini,"Lunch, Dinner",Tashreeb,Lamb stew with bread,12,Average,Family-friendly
Bahrain,Jidhafs,Street Ful Stand,Street Food,Breakfast,Ful with Khubz,Fava beans with flatbread,4,Low,Solo
Bahrain,Juffair,Al Qahwa,Bahraini,"Breakfast, Lunch",Gers Ogaily,Traditional spiced cake,10,Low,Family-friendly
Bahrain,Juffair,Al Wadi,Bahraini,Dinner,Grilled Prawns,Juicy prawns with garlic and spices,20,Average,Friends
Bahrain,Juffair,Al Waha,Bahraini,"L,D",Grilled Hammour,Fresh hammour with spices,25,Average,Couples
Bahrain,Juffair,Bennigan’s,Bahraini-American,"L,D",Machboos Burger,Spiced rice and meat patty,15,Average,Friends
Bahrain,Juffair,Bennigan’s,Bahraini,Dinner,Grilled Zubaidi,Pomfret fish with lemon,25,Average,Couples
Bahrain,Juffair,Block 338,Bahraini Fusion,"B,L,D",Balaleet,"Sweet vermicelli with cardamom and saffron, served with eggs",15,Average,Family-friendly
Bahrain,Juffair,Mat’am Juffair,Bahraini,"Lunch, Dinner",Machboos Dajaj,Chicken with spiced rice,15,Average,Family-friendly
Bahrain,Juffair,Street Shawarma Cart,Street Food,Lunch,Shawarma,Grilled chicken with tahini,5,Low,Solo
Bahrain,Manama,Bahrain Bay Kitchen,Fine Dining-Bahraini,Dinner,Prawn Machboos,Shrimp with spiced rice and herbs,35,Luxury,Couples
Bahrain,Manama,Block 338 - Alosra,Bahraini,"B,L,D",Thareed,Bread soaked in spiced lamb stew,15,Average,Family-friendly
Bahrain,Manama,Fish Market,Bahraini,Dinner,Grilled Hammour,Fresh hammour fish with Bahraini spices,20,Average,Couples
Bahrain,Manama,Foli,Bahraini,"L,D",Tikka,Marinated grilled meat skewers,12,Low,Friends
Bahrain,Manama,Foli,Bahraini,"Lunch, Dinner",Machboos,Spiced rice with tender lamb and dried limes,15,Average,Friends
Bahrain,Manama,Haji’s Café,Bahraini,"Breakfast, Lunch",Balaleet,Sweet vermicelli with saffron and fried egg,8,Low,Family-friendly
Bahrain,Manama,Haji’s Gyros,Bahraini Street Food,"B,L,D",Chicken Machboos,Spiced rice with tender chicken and dried limes,8,Low,Friends
Bahrain,Manama,Street Ful Cart,Street Food,Breakfast,Ful Medames,Mashed fava beans with olive oil and bread,5,Low,Solo
Bahrain,Manama,Street Stall - Bab Al Bahrain,Bahraini Street Food,"B,L",Samboosa,Spiced meat or cheese pastries,4,Low,Solo
Bahrain,Manama,The Orangery,Bahraini,"B,L",Regag Bread,Thin crepe with cheese,10,Low,Family-friendly
Bahrain,Muharraq,Al Abraaj,Bahraini,"Lunch, Dinner",Tikka,Grilled chicken skewers with spices,12,Average,Family-friendly
Bahrain,Muharraq,Al Bindaira,Bahraini,"B,L,D",Machboos Dajaj,Spiced rice with chicken,15,Average,Family-friendly
Bahrain,Muharraq,Al Eshaiq Restaurant,Bahraini,"L,D",Fish Hamour Sayadiyah,Grilled hamour fish with seasoned rice,25,Average,Couples
Bahrain,Muharraq,Haji Gahwa,Bahraini Street Food,"B,L",Qahwa with Dates,Arabic coffee with sweet dates,4,Low,Solo
Bahrain,Muharraq,House of Coffee,Bahraini,"Breakfast, Lunch",Qahwa with Dates,Traditional coffee with sweet dates,6,Low,Family-friendly
Bahrain,Muharraq,Mat’am Al Souq,Bahraini,Dinner,Harees,"Wheat and meat porridge, slow-cooked",10,Low,Friends
Bahrain,Muharraq,Saffron by Jena,Bahraini,"B,L",Gahwa Breakfast,Coffee with khubz and eggs,10,Low,Solo
Bahrain,Muharraq,Saffron by Jena,Bahraini,D,Khabeesa,Sweet porridge with saffron,18,Average,Couples
Bahrain,Muharraq,Saffron by Jena,Bahraini,"Lunch, Dinner",Machboos Dajaj,Chicken with spiced rice and nuts,18,Average,Couples
Bahrain,Muharraq,Street Bread Stall,Street Food,Breakfast,Khubz,Fresh flatbread with cheese or za’atar,4,Low,Solo
Bahrain,Riffa,Al Abraaj,Bahraini,"B,L,D",Harees,Slow-cooked wheat and meat porridge,12,Low,Solo
Bahrain,Riffa,Al Abraaj,Bahraini,"B,L,D",Samboosa,Spiced meat or cheese pastries,8,Low,Family-friendly
Bahrain,Riffa,Al Fanar,Bahraini,Dinner,Grilled Zubaidi,White pomfret fish with lemon,20,Average,Couples
Bahrain,Riffa,Al Osra,Bahraini,Dinner,Tashreeb,Bread soaked in lamb stew with spices,12,Average,Friends
Bahrain,Riffa,Haji’s Café,Bahraini,"L,D",Harees,Wheat and meat porridge,10,Low,Friends
Bahrain,Riffa,Mat’am Al Riffa,Bahraini,"Lunch, Dinner",Murabba,Shrimp stew with rice and spices,15,Average,Family-friendly
Bahrain,Riffa,Riffa Café,Bahraini,"Breakfast, Lunch",Balaleet,Sweet and savory vermicelli with egg,8,Low,Family-friendly
Bahrain,Riffa,Street Shawarma,Street Food,Lunch,Shawarma,Grilled chicken in pita with garlic sauce,5,Low,Solo
Bahrain,Saar,Al Marina,Bahraini,Dinner,Grilled Zubaidi,Pomfret with lemon,20,Average,Couples
Bahrain,Saar,Al Noor Saar,Bahraini,Dinner,Sayadiyah,Fish with spiced rice,18,Average,Friends
Bahrain,Saar,Al Riwaq,Bahraini,"L,D",Balaleet,Sweet vermicelli with eggs,12,Low,Friends
Bahrain,Saar,Fish & Bread,Bahraini Seafood,"L,D",Fish Sayadiyah,Spiced fish with rice,25,Average,Couples
Bahrain,Saar,Mat’am Saar,Bahraini,"Lunch, Dinner",Machboos Dajaj,Chicken with spiced rice,15,Average,Family-friendly
Bahrain,Saar,Saar Café,Bahraini,"Breakfast, Lunch",Gers Ogaily,Spiced cake with cardamom,10,Low,Family-friendly
Bahrain,Saar,Street Shawarma Stand,Street Food,Lunch,Shawarma,Grilled chicken with tahini,5,Low,Solo
Bahrain,Sakhir,Street Stall - Circuit,Bahraini Street Food,"B,L",Luqaimat,Sweet dumplings with date syrup,5,Low,Solo
Bahrain,Sanabis,Al Bustan,Bahraini,Dinner,Grilled Prawns,Prawns with garlic,25,Average,Couples
Bahrain,Sanabis,Al Qahwa Sanabis,Bahraini,"Breakfast, Lunch",Harees,Wheat and meat porridge,10,Low,Family-friendly
Bahrain,Sanabis,Al Waha Sanabis,Bahraini,Dinner,Tikka,Grilled chicken with rice,12,Average,Friends
Bahrain,Sanabis,Mat’am Sanabis,Bahraini,"Lunch, Dinner",Murabba,Shrimp with rice and spices,15,Average,Family-friendly
Bahrain,Sanabis,Street Bread Vendor,Street Food,Breakfast,Rgaag,Thin bread with honey,4,Low,Solo
Bahrain,Seef,Al Abraaj Seef,Bahraini,Dinner,Tashreeb,Lamb stew with soaked bread,15,Average,Friends
Bahrain,Seef,Bahrain Bay Kitchen,Bahraini,D,Thareed,Bread soaked in lamb stew,20,Average,Family-friendly
Bahrain,Seef,Coco’s,Bahraini,Dinner,Machboos Laham,Lamb with spiced rice,20,Average,Couples
Bahrain,Seef,Maki Bahrain,Bahraini-Japanese,D,Sushi with Local Fish,Fresh local fish in sushi rolls,50,Luxury,Couples
Bahrain,Seef,Mat’am Seef,Bahraini,"Lunch, Dinner",Sayadiyah,Fish with spiced rice,18,Average,Family-friendly
Bahrain,Seef,Nassif,Bahraini Seafood,"L,D",Grilled Zubaidi,Fresh pomfret with Bahraini spices,30,Average,Couples
Bahrain,Seef,Seef Café,Bahraini,"Breakfast, Lunch",Balaleet,Sweet and savory vermicelli,8,Low,Family-friendly
Bahrain,Seef,Street Ful Vendor,Street Food,Breakfast,Ful Medames,Fava beans with olive oil,4,Low,Solo
Bahrain,Sitra,Al Marina Sitra,Bahraini,Dinner,Grilled Prawns,Prawns with garlic,25,Average,Couples
Bahrain,Sitra,Al Qahwa Sitra,Bahraini,"Breakfast, Lunch",Harees,Wheat and meat porridge,10,Low,Family-friendly
Bahrain,Sitra,Al Wadi Sitra,Bahraini,Dinner,Tikka,Grilled chicken with rice,12,Average,Friends
Bahrain,Sitra,Mat’am Sitra,Bahraini,"Lunch, Dinner",Murabba,Shrimp with rice and spices,15,Average,Family-friendly
Bahrain,Sitra,Street Bread Vendor,Street Food,Breakfast,Rgaag,Thin bread with honey,4,Low,Solo
Bahrain,Tubli,Al Noor Tubli,Bahraini,Dinner,Sayadiyah,Fish with spiced rice,18,Average,Friends
Bahrain,Tubli,Al Sultan Tubli,Bahraini,Dinner,Grilled Zubaidi,Pomfret with lemon,20,Average,Couples
Bahrain,Tubli,Mat’am Tubli,Bahraini,"Lunch, Dinner",Machboos Dajaj,Chicken with spiced rice,15,Average,Family-friendly
Bahrain,Tubli,Street Shawarma Cart,Street Food,Lunch,Shawarma,Grilled chicken with tahini,5,Low,Solo
Bahrain,Tubli,Tubli Café,Bahraini,"Breakfast, Lunch",Gers Ogaily,Spiced cake with cardamom,10,Low,Family-friendly
Bahrain,Zallaq,Al Jabal,Bahraini,"Breakfast, Lunch",Balaleet,Sweet vermicelli with egg,8,Low,Family-friendly
Bahrain,Zallaq,Al Khiran,Bahraini,Dinner,Machboos Laham,Lamb with spiced rice,20,Average,Friends
Bahrain,Zallaq,Al Sultan,Bahraini,Dinner,Grilled Hammour,Hammour with spices,25,Average,Couples
Bahrain,Zallaq,Mat’am Zallaq,Bahraini,"Lunch, Dinner",Tashreeb,Lamb stew with soaked bread,12,Average,Family-friendly
Bahrain,Zallaq,Sofitel Zallaq Dining,Bahraini,D,Lobster Machboos,Spiced rice with local lobster,60,Luxury,Couples
Bahrain,Zallaq,Street Ful Vendor,Street Food,Breakfast,Ful Medames,Fava beans with bread,4,Low,Solo
Comoros,Anjouan,Chez Ali,Comorian Street Food,"B,L",Mkatra Foutra,Coconut bread with spicy fish stew,5,Low,Solo
Comoros,Anjouan,Chez Momo,Comorian Street Food,"B,L",Mabawa,Grilled chicken wings with chili,6,Low,Solo
Comoros,Anjouan,Le Jardin,Comorian,"B,L,D",Brochettes,Grilled meat skewers with spices,18,Average,Couples
Comoros,Anjouan,Mama Zaina’s,Comorian,"B,L",Mataba,Cassava leaves stewed with coconut milk,8,Low,Family-friendly
Comoros,Anjouan,Restaurant La Plage,Comorian,"L,D",Poisson au Coco,Fish in coconut milk sauce,20,Average,Family-friendly
Comoros,Grande Comore,Al Amal,Comorian,D,Mataba,Cassava leaves stewed with fish,12,Low,Friends
Comoros,Grande Comore,Café du Port,Comorian,"B,L",Roti ya Coco,Coconut bread with honey,4,Low,Friends
Comoros,Grande Comore,Itsandra Beach,Comorian,"L,D",Grilled Snapper,Fresh snapper with lemon and spices,25,Average,Couples
Comoros,Grande Comore,La Grillade,Comorian,D,Grilled Goat,Tender goat marinated in local spices,20,Average,Friends
Comoros,Grande Comore,Le Karthala,Comorian,"L,D",Pilaou,Spiced rice with goat or fish,15,Average,Family-friendly
Comoros,Grande Comore,Le Lagon Bleu,Comorian,"L,D",Langouste à la Vanille,Lobster cooked in a creamy vanilla sauce,30,Average,Couples
Comoros,Mohéli,Laka Lodge,Comorian Seafood,"L,D",Langouste Grillée,Grilled lobster with coconut sauce,35,Average,Couples
Comoros,Mohéli,Moheli Café,Comorian,"B,L",Banana Fritters,Fried bananas with spiced honey,5,Low,Friends
Comoros,Mohéli,Restaurant Moheli,Comorian,"B,L,D",Pilaou,Spiced rice with meat or fish,15,Average,Family-friendly
Comoros,Mohéli,Street Stall - Fomboni,Comorian Street Food,"B,L",Sambusa,Spiced meat or veggie pastries,3,Low,Solo
Croatia,Dubrovnik,Konoba Dubrava,Croatian,"L,D",Peka,Slow-roasted lamb or veal with potatoes under a bell-like lid,35,Average,Family-friendly
Croatia,Dubrovnik,Konoba Dubrava,Croatian,"Lunch, Dinner",Peka,Veal cooked under coals with vegetables,35,Average,Family-friendly
Croatia,Dubrovnik,Kopun,Croatian,Dinner,Kapon,Roasted capon with mlinci,30,Average,Friends
Croatia,Dubrovnik,Nautika,Fine Dining-Croatian,Dinner,Lobster Buzara,Lobster in tomato and wine sauce,60,Luxury,Couples
Croatia,Dubrovnik,Panturul,Croatian,"L,D",Crni Rižot,Black risotto with cuttlefish,25,Average,Couples
Croatia,Dubrovnik,Pekara Dubrovnik,Street Food,Breakfast,Burek sa Sirom,Cheese-filled flaky pastry,5,Low,Solo
Croatia,Dubrovnik,Proto,Seafood,Dinner,Grilled Sea Bass,Fresh bass with lemon and olive oil,40,Luxury,Couples
Croatia,Hvar,Dalmatino,Croatian,Dinner,Pašticada,Beef in sweet sauce with gnocchi,25,Average,Friends
Croatia,Hvar,Giaxa,Dalmatian,D,Gregada,Fish stew with potatoes and wine,30,Average,Couples
Croatia,Hvar,Giaxa,Croatian,"Lunch, Dinner",Vitalac,Grilled lamb offal wrapped in intestines,20,Average,Couples
Croatia,Hvar,Konoba Menego,Croatian,"Lunch, Dinner",Peka,Lamb cooked under a bell with potatoes,35,Average,Family-friendly
Croatia,Hvar,Passarola,Dalmatian,D,Black Risotto,Creamy risotto with cuttlefish ink and seafood,40,Average,Couples
Croatia,Hvar,Passarola,Fine Dining-Croatian,Dinner,Grilled Octopus,Octopus with olive oil and capers,45,Luxury,Couples
Croatia,Hvar,Pekara Hvar,Street Food,Breakfast,Kroštule,Fried dough strips with powdered sugar,5,Low,Solo
Croatia,Korčula,Adio Mare,Croatian,Dinner,Pašticada,Beef in sweet-sour sauce,25,Average,Friends
Croatia,Korčula,Filippi,Fine Dining-Croatian,Dinner,Grilled Octopus,Octopus with olive oil and potatoes,45,Luxury,Couples
Croatia,Korčula,Konoba Maha,Croatian,"Lunch, Dinner",Vitalac,Grilled lamb offal,20,Average,Family-friendly
Croatia,Korčula,Konoba Mate,Croatian,"Lunch, Dinner",Peka,Lamb cooked under a bell,30,Average,Family-friendly
Croatia,Korčula,LD Terrace,Croatian,D,Brodet,Fish stew with polenta,35,Average,Family-friendly
Croatia,Korčula,Pekara Korčula,Street Food,Breakfast,Kroštule,Fried dough with sugar,5,Low,Solo
Croatia,Makarska,Jenya,Fine Dining-Croatian,Dinner,Octopus Buzara,Octopus in tomato sauce,50,Luxury,Couples
Croatia,Makarska,Konoba Kalalarga,Croatian,"Lunch, Dinner",Pašticada,Beef stew with gnocchi,25,Average,Family-friendly
Croatia,Makarska,Pekara Makarska,Street Food,Breakfast,Burek,Pastry with cheese or meat,5,Low,Solo
Croatia,Makarska,Restoran Riva,Seafood,Dinner,Grilled Sea Bream,Fresh bream with olive oil,35,Average,Friends
Croatia,Makarska,Stari Mlin,Croatian,"L,D",Soparnik,Swiss chard-filled pastry,12,Low,Friends
Croatia,Makarska,Stari Mlin,Croatian,Dinner,Peka,Lamb cooked under coals,30,Average,Couples
Croatia,Opatija,Bevanda,Seafood,Dinner,Tuna Tartare,Fresh tuna with capers and olive oil,40,Luxury,Couples
Croatia,Opatija,Konoba Tramerka,Croatian,"Lunch, Dinner",Fuži s Tartufima,Pasta with truffle sauce,25,Average,Couples
Croatia,Opatija,Pekara Opatija,Street Food,Breakfast,Krafne,Jam-filled doughnuts,5,Low,Solo
Croatia,Opatija,Plavi Podrum,Fine Dining-Croatian,Dinner,Grilled Scampi,Fresh scampi with parsley,45,Luxury,Couples
Croatia,Opatija,Roko,Croatian,Dinner,Maneštra,Bean and vegetable stew,15,Low,Family-friendly
Croatia,Osijek,Kod Ruže,Croatian,Dinner,Fiš Paprikaš,Spicy fish stew with noodles,20,Average,Friends
Croatia,Osijek,Lumiere,Croatian,"Lunch, Dinner",Punjena Paprika,Stuffed peppers with meat and rice,15,Low,Family-friendly
Croatia,Osijek,Pekara Osijek,Street Food,Breakfast,Kiflice,Croissants with jam or cheese,5,Low,Solo
Croatia,Osijek,Restoran Waldinger,Fine Dining-Croatian,Dinner,Duck with Mlinci,Roasted duck with pasta sheets,40,Luxury,Couples
Croatia,Osijek,Slavonska Kuća,Croatian,"Lunch, Dinner",Čobanac,Spicy meat stew with paprika,15,Average,Family-friendly
Croatia,Osijek,Slavonski Dom,Slavonian,"L,D",Čobanac,Spicy meat stew,15,Average,Friends
Croatia,Pula,Farabuto,Fine Dining-Croatian,Dinner,Truffle Risotto,Creamy risotto with Istrian truffles,45,Luxury,Couples
Croatia,Pula,Jupiter,Croatian,"Lunch, Dinner",Pljukanci s Boškarinom,Hand-rolled pasta with Istrian ox sauce,20,Average,Friends
Croatia,Pula,Konoba Batelina,Istrian,"L,D",Raw Seafood Platter,Assorted fresh seafood,50,Luxury,Couples
Croatia,Pula,Konoba Batelina,Seafood,Dinner,Grilled Scampi,Fresh scampi with garlic and parsley,40,Average,Couples
Croatia,Pula,Pekara Pula,Street Food,Breakfast,Burek,Pastry with meat or cheese,5,Low,Solo
Croatia,Pula,Vodnjanka,Croatian,"Lunch, Dinner",Maneštra,Bean and vegetable stew,15,Low,Family-friendly
Croatia,Rijeka,Konoba Nebuloza,Croatian,"Lunch, Dinner",Fuži s Tartufima,Homemade pasta with truffle sauce,25,Average,Couples
Croatia,Rijeka,Mornar,Seafood,Dinner,Brodet,Fish stew with polenta,20,Average,Family-friendly
Croatia,Rijeka,Pekara Rijeka,Street Food,Breakfast,Krafne,Filled doughnuts with jam or cream,5,Low,Solo
Croatia,Rijeka,Ristorante Spagho,Croatian,Dinner,Istarska Maneštra,Vegetable and bean stew with pasta,15,Low,Family-friendly
Croatia,Rijeka,Trsatika,Croatian,"Lunch, Dinner",Škampi na Buzaru,Shrimp in garlic and wine sauce,30,Average,Friends
Croatia,Rovinj,Konoba Veli Jože,Croatian,"Lunch, Dinner",Fuži s Tartufima,Pasta with truffle sauce,25,Average,Friends
Croatia,Rovinj,La Vela,Croatian,Dinner,Maneštra,Bean stew with sausage,15,Low,Family-friendly
Croatia,Rovinj,Monte,Fine Dining-Croatian,Dinner,Truffle Risotto,Risotto with Istrian truffles,60,Luxury,Couples
Croatia,Rovinj,Pekara Rovinj,Street Food,Breakfast,Burek,Cheese-filled pastry,5,Low,Solo
Croatia,Rovinj,Puntulina,Istrian,"L,D",Truffle Pasta,Fresh pasta with locally sourced truffles,60,Luxury,Couples
Croatia,Rovinj,Puntulina,Seafood,Dinner,Grilled Scampi,Fresh scampi with olive oil,40,Average,Couples
Croatia,Rovinj,Street Stall - Marsala Tita,Istrian Street Food,"B,L",Fuzi,Handmade pasta with truffle sauce,10,Low,Friends
Croatia,Šibenik,Konoba Vinko,Croatian,"Lunch, Dinner",Crni Rižot,Black risotto with squid,20,Average,Friends
Croatia,Šibenik,Pekara Šibenik,Street Food,Breakfast,Soparnik,Swiss chard pie,6,Low,Solo
Croatia,Šibenik,Pelegrini,Croatian,D,Lamb Peka,Slow-roasted lamb under a bell,40,Average,Family-friendly
