Country,City,Accommodation Name,Accommodation Details,Type,Avg Night Price (USD)
Croatia,Dubrovnik,Guesthouse Maria,"Guesthouse near Stradun, traditional style",Guesthouse,70
Croatia,Dubrovnik,Hotel Excelsior,5-star luxury hotel with seafront,Luxury Hotel,350
Croatia,Dubrovnik,Valamar Lacroma,"4-star hotel with pool, near Lapad",Hotel,150
Croatia,Dubrovnik,Guesthouse Dubrovnik,Guesthouse near Banje Beach,Guesthouse,75
Croatia,Dubrovnik,Rixos Premium Dubrovnik,5-star luxury hotel with spa,Luxury Hotel,400
Croatia,Dubrovnik,Hostel Free Bird,Budget hostel near Gruž Port,Hostel,22
Croatia,Dubrovnik,Hotel More,5-star luxury hotel with cave bar,Luxury Hotel,300
Croatia,Hvar,Hostel Marinero,Budget hostel near Hvar Harbor,Hostel,25
Croatia,Hvar,Guesthouse Hvar,Guesthouse near St. Stephen’s Square,Guesthouse,60
Croatia,Hvar,Hotel Amfora,4-star hotel with beach access,Hotel,140
Croatia,Hvar,Palace Elisabeth,5-star luxury hotel with heritage,Luxury Hotel,350
Croatia,Hvar,Hostel Villa Skansi,Budget hostel with sea views,Hostel,23
Croatia,Hvar,Guesthouse Hvar Town,Guesthouse near Pakleni Islands ferry,Guesthouse,70
Croatia,Hvar,Adriana Hvar Spa Hotel,4-star hotel with rooftop pool,Hotel,160
Croatia,Hvar,Guesthouse Villa Nora,Guesthouse near Hvar Fortress,Guesthouse,75
Croatia,Hvar,Hotel Podstine,4-star hotel with private beach,Hotel,150
Croatia,Osijek,Hostel Tufna,Budget hostel near Drava River,Hostel,16
Croatia,Osijek,Osijek Hostel,Simple hostel near Tvrđa fortress,Hostel,15
Croatia,Osijek,Guesthouse Maksimilian,Guesthouse in historic Tvrđa,Guesthouse,40
Croatia,Osijek,Hotel Osijek,4-star hotel with river views,Hotel,100
Croatia,Osijek,Hotel Waldinger,4-star boutique hotel in old town,Hotel,110
Croatia,Osijek,Guesthouse Drava,Guesthouse near Copacabana Beach,Guesthouse,40
Croatia,Osijek,Hotel Millennium,3-star hotel near city center,Hotel,80
Croatia,Osijek,Hostel Osijek,Simple hostel near Cathedral,Hostel,15
Croatia,Osijek,Hotel Silver,3-star hotel near riverfront,Hotel,80
Croatia,Pula,Hostel Pipistrelo,Artsy hostel near Pula Arena,Hostel,20
Croatia,Pula,Crazy House Hostel,Budget hostel in city center,Hostel,18
Croatia,Pula,Guesthouse Rivijera,Guesthouse near Roman Amphitheatre,Guesthouse,50
Croatia,Pula,Park Plaza Histria,4-star hotel with sea views,Hotel,120
Croatia,Pula,Hotel Valsabbion,5-star luxury boutique hotel,Luxury Hotel,230
Croatia,Pula,Guesthouse Pula,Guesthouse near Sergii Arch,Guesthouse,50
Croatia,Pula,Hotel Amfiteatar,3-star hotel near Roman ruins,Hotel,90
Croatia,Pula,Hostel Antique,Budget hostel near Pula Cathedral,Hostel,20
Croatia,Pula,Hotel Scaletta,3-star hotel near Arena,Hotel,100
Croatia,Rijeka,Hostel Fun,Budget hostel near Korzo promenade,Hostel,18
Croatia,Rijeka,Rijeka Hostel,Simple hostel near Trsat Castle,Hostel,16
Croatia,Rijeka,Guesthouse Molo Longo,Guesthouse near harbor,Guesthouse,45
Croatia,Rijeka,Grand Hotel Bonavia,4-star hotel in city center,Hotel,110
Croatia,Rijeka,Hilton Rijeka Costabella,5-star luxury hotel with beach,Luxury Hotel,200
Croatia,Rijeka,Guesthouse Rijeka,Guesthouse near Croatian National Theatre,Guesthouse,45
Croatia,Rijeka,Hotel Jadran,4-star hotel with seafront,Hotel,100
Croatia,Rijeka,Hostel Dharma,Budget hostel near city center,Hostel,17
Croatia,Rijeka,Hotel Continental,3-star hotel with historic charm,Hotel,90
Croatia,Rovinj,Hostel Rovinj,Budget hostel near St. Euphemia,Hostel,22
Croatia,Rovinj,Villa Tuttorotto,"Guesthouse in old town, with charm",Guesthouse,70
Croatia,Rovinj,Hotel Adriatic,4-star boutique hotel with sea views,Hotel,150
Croatia,Rovinj,Grand Park Hotel Rovinj,5-star luxury hotel with spa,Luxury Hotel,300
Croatia,Rovinj,Guesthouse Casa Garzotto,Guesthouse in historic Rovinj,Guesthouse,65
Croatia,Rovinj,Hotel Lone,5-star luxury hotel with design focus,Luxury Hotel,280
Croatia,Rovinj,Hostel Porton Biondi,Budget hostel near beach,Hostel,20
Croatia,Rovinj,Hotel Angelo d’Oro,4-star hotel in old town,Hotel,140
Croatia,Šibenik,Hostel Šibenik,Budget hostel near St. James Cathedral,Hostel,18
Croatia,Šibenik,Hostel Splendido,"Simple hostel with terrace, old town",Hostel,17
Croatia,Šibenik,Guesthouse Mare,Guesthouse near waterfront,Guesthouse,45
Croatia,Šibenik,Heritage Hotel Life Palace,4-star hotel in historic building,Hotel,120
Croatia,Šibenik,D-Resort Šibenik,5-star luxury resort with marina,Luxury Hotel,250
Croatia,Šibenik,Guesthouse Šibenik,Guesthouse near Krka National Park entrance,Guesthouse,50
Croatia,Šibenik,Hotel Panorama,4-star hotel with views,Hotel,110
Croatia,Šibenik,Hostel Globo,Budget hostel near Barone Fortress,Hostel,18
Croatia,Šibenik,Hotel Jadran,3-star hotel near Cathedral,Hotel,90
Croatia,Split,Hostel Split Backpackers,Simple hostel near Diocletian’s Palace,Hostel,22
Croatia,Split,Hostel Dvor,"Budget hostel with rooftop, old town",Hostel,20
Croatia,Split,Guesthouse Vrlic,Guesthouse near Bacvice Beach,Guesthouse,55
Croatia,Split,Hotel Luxe,4-star hotel with sea views,Hotel,140
Croatia,Split,Radisson Blu Split,5-star luxury resort with pool,Luxury Hotel,250
Croatia,Split,Guesthouse Split,Guesthouse near Marjan Hill,Guesthouse,60
Croatia,Split,Hotel Park Split,5-star luxury hotel near Bacvice,Luxury Hotel,270
Croatia,Split,Hostel Split,Simple hostel near Riva Promenade,Hostel,20
Croatia,Split,Cornaro Hotel,4-star hotel in old town,Hotel,150
Croatia,Split,Riad Split,Guesthouse near Peristil Square,Guesthouse,65
Croatia,Zadar,Hostel Forum,Modern hostel near Sea Organ,Hostel,20
Croatia,Zadar,Youth Hostel Zadar,Budget hostel near old town,Hostel,18
Croatia,Zadar,Guesthouse Barba,Guesthouse near Roman Forum,Guesthouse,50
Croatia,Zadar,Hotel Bastion,4-star hotel in historic building,Hotel,130
Croatia,Zadar,Falkensteiner Hotel Adriana,5-star luxury hotel with spa,Luxury Hotel,220
Croatia,Zadar,Guesthouse Zadar,Guesthouse near Greeting to the Sun,Guesthouse,50
Croatia,Zadar,Hotel Kolovare,4-star hotel near beach,Hotel,110
Croatia,Zadar,Hostel Zadar Backpackers,Budget hostel near Kalelarga,Hostel,19
Croatia,Zadar,Hotel Niko,4-star hotel with beach access,Hotel,120
Croatia,Zagreb,Swanky Mint Hostel,"Trendy hostel in central Zagreb, with bar",Hostel,20
Croatia,Zagreb,Chillout Hostel Zagreb,Budget hostel near Ban Jelačić Square,Hostel,18
Croatia,Zagreb,Guesthouse Zagreb,Cozy guesthouse near Upper Town,Guesthouse,50
Croatia,Zagreb,Hotel Dubrovnik,4-star hotel on main square,Hotel,120
Croatia,Zagreb,Esplanade Zagreb,5-star luxury hotel with Art Deco style,Luxury Hotel,200
Croatia,Zagreb,Guesthouse Centar,Guesthouse near Zagreb Cathedral,Guesthouse,55
Croatia,Zagreb,Sheraton Zagreb,5-star luxury hotel with pool,Luxury Hotel,180
Croatia,Zagreb,Hostel Bureau,Budget hostel near Museum of Broken Relationships,Hostel,18
Croatia,Zagreb,Hotel Jägerhorn,4-star hotel near Lotrščak Tower,Hotel,130
Croatia,Zagreb,Riad Zagreb,Guesthouse near Maksimir Park,Guesthouse,50
Cyprus,Ayia Napa,Ayia Napa Hostel,Party hostel near Nissi Beach,Hostel,22
Cyprus,Ayia Napa,Napa Guesthouse,Guesthouse near nightlife district,Guesthouse,50
Cyprus,Ayia Napa,Alion Beach Hotel,5-star luxury hotel with pool,Luxury Hotel,260
Cyprus,Ayia Napa,Nestor Hotel,4-star hotel near Ayia Napa Square,Hotel,110
Cyprus,Ayia Napa,Hostel Napa Party,Budget hostel near nightlife,Hostel,20
Cyprus,Ayia Napa,Riad Ayia Napa,Guesthouse near Monastery,Guesthouse,55
Cyprus,Ayia Napa,Adams Beach Hotel,5-star luxury hotel with private beach,Luxury Hotel,270
Cyprus,Ayia Napa,Nissi Beach Resort,5-star luxury hotel with gardens,Luxury Hotel,280
Cyprus,Ayia Napa,Faros Hotel,4-star hotel near harbor,Hotel,120
Cyprus,Famagusta,Famagusta Hostel,Budget hostel near Othello Castle (Northern Cyprus),Hostel,16
Cyprus,Famagusta,Guesthouse Salamis,Guesthouse near Salamis Ruins (Northern Cyprus),Guesthouse,40
Cyprus,Famagusta,Arkin Palm Beach,5-star luxury hotel with beach (Northern Cyprus),Luxury Hotel,200
Cyprus,Famagusta,Mimoza Beach Hotel,3-star hotel near coast (Northern Cyprus),Hotel,80
Cyprus,Famagusta,Hostel Varosha,Budget hostel near ghost town (Northern Cyprus),Hostel,15
Cyprus,Famagusta,Riad Famagusta,Guesthouse near old city walls (Northern Cyprus),Guesthouse,40
Cyprus,Famagusta,Salamis Bay Conti,5-star luxury resort with beach (Northern Cyprus),Luxury Hotel,210
Cyprus,Famagusta,Kaya Artemis Resort,5-star luxury resort with casino (Northern Cyprus),Luxury Hotel,220
Cyprus,Famagusta,Port View Hotel,3-star hotel near harbor (Northern Cyprus),Hotel,70
Cyprus,Kyrenia,Kyrenia Hostel,Simple hostel near Kyrenia Castle (Northern Cyprus),Hostel,18
Cyprus,Kyrenia,Guesthouse Girne,Guesthouse in old town (Northern Cyprus),Guesthouse,45
Cyprus,Kyrenia,Rocks Hotel & Casino,5-star luxury hotel with harbor views (Northern Cyprus),Luxury Hotel,230
Cyprus,Kyrenia,Dome Hotel,4-star hotel near Kyrenia Harbour (Northern Cyprus),Hotel,110
Cyprus,Kyrenia,Hostel Bellapais,Simple hostel near Bellapais Abbey (Northern Cyprus),Hostel,17
Cyprus,Kyrenia,Riad Kyrenia,Guesthouse near harbor (Northern Cyprus),Guesthouse,50
Cyprus,Kyrenia,Merit Crystal Cove,5-star luxury hotel with casino (Northern Cyprus),Luxury Hotel,250
Cyprus,Kyrenia,Acapulco Resort,5-star luxury hotel with beach (Northern Cyprus),Luxury Hotel,240
Cyprus,Kyrenia,White Pearl Hotel,3-star hotel near castle (Northern Cyprus),Hotel,90
Cyprus,Larnaca,Larnaca Hostel,Budget hostel near Finikoudes Beach,Hostel,18
Cyprus,Larnaca,Past Or Tail Guesthouse,Guesthouse near St. Lazarus Church,Guesthouse,45
Cyprus,Larnaca,Golden Bay Beach,5-star luxury hotel with pool,Luxury Hotel,220
Cyprus,Larnaca,Sun Hall Hotel,4-star hotel on Finikoudes Promenade,Hotel,100
Cyprus,Larnaca,Hostel Salt Lake,Budget hostel near Larnaca Salt Lake,Hostel,17
Cyprus,Larnaca,Riad Larnaca,Guesthouse near Mackenzie Beach,Guesthouse,50
Cyprus,Larnaca,Radisson Beach Resort,5-star luxury hotel with pool,Luxury Hotel,230
Cyprus,Larnaca,Les Palmiers Beach,3-star hotel near Finikoudes,Hotel,90
Cyprus,Larnaca,Palm Beach Hotel,4-star hotel with gardens,Hotel,120
Cyprus,Limassol,Limassol Hostel,Simple hostel near Limassol Marina,Hostel,20
Cyprus,Limassol,Pefkos Guesthouse,"Guesthouse near old port, traditional style",Guesthouse,50
Cyprus,Limassol,Four Seasons Limassol,5-star luxury beachfront hotel,Luxury Hotel,300
Cyprus,Limassol,Crowne Plaza Limassol,4-star hotel with sea views,Hotel,120
Cyprus,Limassol,Hostel Marina,Simple hostel near Limassol Castle,Hostel,18
Cyprus,Limassol,Riad Limassol,Guesthouse near Molos Promenade,Guesthouse,55
Cyprus,Limassol,Amathus Beach Hotel,5-star luxury hotel with beach,Luxury Hotel,280
Cyprus,Limassol,Columbia Beach Resort,5-star luxury resort in Pissouri,Luxury Hotel,300
Cyprus,Limassol,Poseidonia Beach Hotel,4-star hotel near Ladies Mile,Hotel,110
Cyprus,Nicosia,Nicosia Hostel,"Budget hostel near Ledra Street, shared dorms",Hostel,18
Cyprus,Nicosia,Guesthouse Nicosia,"Cozy guesthouse in old town, near Selimiye Mosque",Guesthouse,45
Cyprus,Nicosia,Hilton Nicosia,5-star luxury hotel with pool,Luxury Hotel,200
Cyprus,Nicosia,Centrum Hotel,3-star hotel near city center,Hotel,90
Cyprus,Nicosia,Hostel Ledra,Budget hostel near Green Line,Hostel,17
Cyprus,Nicosia,Riad Nicosia,Guesthouse near Cyprus Museum,Guesthouse,50
Cyprus,Nicosia,Cleopatra Hotel,4-star hotel in city center,Hotel,100
Cyprus,Nicosia,Averof Hotel,3-star hotel near walled city,Hotel,80
Cyprus,Nicosia,Map Boutique Hotel,4-star hotel with modern design,Hotel,120
Cyprus,Paphos,Paphos Hostel,Simple hostel near Paphos Harbour,Hostel,20
Cyprus,Paphos,Dionysos Guesthouse,Guesthouse near Tombs of the Kings,Guesthouse,50
Cyprus,Paphos,Annabelle Hotel,5-star luxury hotel with beach access,Luxury Hotel,250
Cyprus,Paphos,Almyra Hotel,4-star hotel with modern design,Hotel,130
Cyprus,Paphos,Hostel Paphos Gardens,Simple hostel near Kato Paphos,Hostel,18
Cyprus,Paphos,Riad Paphos,Guesthouse near Archaeological Park,Guesthouse,55
Cyprus,Paphos,Elysium Hotel,5-star luxury hotel with spa,Luxury Hotel,270
Cyprus,Paphos,Aphrodite Sands,4-star resort with pool,Hotel,100
Cyprus,Paphos,Coral Beach Hotel,5-star luxury hotel with beach,Luxury Hotel,240
Cyprus,Polis,Polis Hostel,Simple hostel near Latchi Harbour,Hostel,16
Cyprus,Polis,Guesthouse Polis,Guesthouse near Akamas Peninsula,Guesthouse,40
Cyprus,Polis,Anassa Hotel,5-star luxury resort with beach,Luxury Hotel,350
Cyprus,Polis,Natura Beach Hotel,3-star hotel with sea views,Hotel,90
Cyprus,Polis,Hostel Latchi,Simple hostel near Latchi Beach,Hostel,15
Cyprus,Polis,Riad Polis,Guesthouse near Polis Chrysochous,Guesthouse,45
Cyprus,Polis,Akamas Health Farm,4-star hotel with spa,Hotel,110
Cyprus,Polis,Stephanos Hotel,3-star hotel near Polis center,Hotel,80
Cyprus,Polis,Zening Resorts,4-star eco-resort with wellness,Hotel,140
Cyprus,Protaras,Protaras Hostel,Budget hostel near Fig Tree Bay,Hostel,20
Cyprus,Protaras,Guesthouse Sunrise,Guesthouse near Sunrise Beach,Guesthouse,55
Cyprus,Protaras,Capo Bay Hotel,5-star luxury hotel with spa,Luxury Hotel,240
Cyprus,Protaras,Cavo Maris Beach,4-star hotel with beach access,Hotel,120
Cyprus,Protaras,Hostel Protaras Bay,Budget hostel near Protaras Coast,Hostel,18
Cyprus,Protaras,Riad Protaras,Guesthouse near Green Bay,Guesthouse,50
Cyprus,Protaras,Grecian Park Hotel,5-star luxury hotel with views,Luxury Hotel,230
Cyprus,Protaras,Crystal Springs,4-star hotel near Trinity Beach,Hotel,110
Cyprus,Protaras,Louis Althea Beach,4-star hotel with family facilities,Hotel,130
Cyprus,Troodos,Troodos Hostel,Budget hostel in Troodos Mountains,Hostel,15
Cyprus,Troodos,Guesthouse Troodos,Guesthouse near Mount Olympus,Guesthouse,40
Cyprus,Troodos,Troodos Hotel,3-star hotel with mountain views,Hotel,80
Cyprus,Troodos,Casale Panayiotis,4-star boutique hotel with spa,Hotel,130
Cyprus,Troodos,Hostel Pinewood,Budget hostel near Caledonia Falls,Hostel,14
Cyprus,Troodos,Riad Troodos,Guesthouse in Troodos village,Guesthouse,45
Cyprus,Troodos,Jubilee Hotel,3-star hotel with mountain views,Hotel,85
Cyprus,Troodos,Forest Park Hotel,4-star hotel with mountain charm,Hotel,100
Cyprus,Troodos,New Helvetia Hotel,3-star hotel in Platres,Hotel,85
Egypt,Alexandria,Alexandria Old Town Hostel,Charming guesthouse set in a historic district with a relaxed vibe and personal touches.,Hostel/Guesthouse,~$18
Egypt,Alexandria,Four Seasons Hotel Alexandria at San Stefano,"Elegant hotel with Mediterranean views, modern luxury amenities, and a touch of historic charm.",Luxury Hotel,~$250
Egypt,Alexandria,Windsor Palace Hotel,"Historic 4-star hotel on Corniche, sea views",Hotel,80
Egypt,Alexandria,Hostel Alexandria,Budget hostel near Bibliotheca Alexandrina,Hostel,12
Egypt,Alexandria,Gleem Bay Guesthouse,Cozy guesthouse near Montaza Palace,Guesthouse,30
Egypt,Alexandria,Four Seasons Alexandria,5-star luxury hotel with private beach,Luxury Hotel,200
Egypt,Alexandria,Paradise Inn,"4-star hotel on Corniche, near Qaitbay Citadel",Hotel,70
Egypt,Alexandria,Alex Guesthouse,Simple guesthouse near Stanley Bridge,Guesthouse,25
Egypt,Alexandria,Cecil Hotel,Historic 4-star hotel on Corniche,Hotel,75
Egypt,Alexandria,Sea Star Hostel,Budget hostel near Eastern Harbor,Hostel,10
Egypt,Alexandria,Metropole Hotel,4-star historic hotel on Corniche,Hotel,70
Egypt,Alexandria,Alex Beach Guesthouse,Simple guesthouse near beach,Guesthouse,25
Egypt,Aswan,Aswan Riverside Guesthouse,"Traditional guesthouse with Nile views, offering a cozy retreat and local hospitality.",Guesthouse,~$20
Egypt,Aswan,Nuba Nile Guesthouse,Traditional Nubian guesthouse near Nile,Guesthouse,40
Egypt,Aswan,Aswan Hostel,"Budget hostel near Nubian Museum, shared dorms",Hostel,11
Egypt,Aswan,Movenpick Aswan,"5-star hotel on Elephantine Island, with pool",Luxury Hotel,180
Egypt,Aswan,Hotel Basma,"4-star hotel with Nile views, near Philae Temple",Hotel,70
Egypt,Aswan,Philae Hotel,"3-star hotel with Nile views, near Aswan Market",Hotel,50
Egypt,Aswan,Nubian Dreams,"Guesthouse with Nubian decor, near Nile",Guesthouse,30
Egypt,Aswan,Sofitel Old Cataract,"5-star luxury hotel in Nubian Desert, Nile views",Luxury Hotel,250
Egypt,Aswan,Aswan Inn,Budget guesthouse near High Dam,Guesthouse,25
Egypt,Aswan,Pyramisa Isis Island,4-star hotel on Nile island,Hotel,80
Egypt,Aswan,Nubian Hostel,Budget hostel near Aswan souk,Hostel,10
Egypt,Cairo,Cairo Downtown Backpackers,Lively hostel in the heart of Cairo’s old quarter with shared spaces and a warm local ambiance.,Hostel,~$15
Egypt,Cairo,Marriott Mena House,Historic luxury hotel near the Pyramids with lush gardens and iconic views,Luxury,~$300
Egypt,Cairo,Nile Riverside Guesthouse,"Traditional guesthouse on the banks of the Nile, decorated with authentic Egyptian motifs.",Guesthouse,~$20
Egypt,Cairo,The St. Regis Cairo,"Opulent hotel offering panoramic Nile views, refined dining experiences, and luxurious accommodations. Wikipedia",Luxury Hotel,~$500
Egypt,Cairo,Holy Sheet Hostel,"Central hostel in downtown Cairo, near Tahrir Square",Hostel,10
Egypt,Cairo,Valencia Hotel,"Budget guesthouse near Egyptian Museum, basic amenities",Guesthouse,25
Egypt,Cairo,Steigenberger El Tahrir,"4-star hotel in Tahrir Square, overlooking museum",Hotel,90
Egypt,Cairo,The St. Regis Cairo,"5-star luxury hotel on Nile, with spa and dining",Luxury Hotel,250
Egypt,Cairo,Cairo Stars Hostel,"Budget hostel near Khan Al Khalili, rooftop",Hostel,11
Egypt,Cairo,Nile View Guesthouse,"Guesthouse in Zamalek, with Nile views",Guesthouse,35
Egypt,Cairo,Kempinski Nile Hotel,5-star luxury hotel with rooftop pool,Luxury Hotel,220
Egypt,Cairo,Fairmont Nile City,"5-star luxury hotel on Nile, with spa",Luxury Hotel,240
Egypt,Cairo,Garden City House,Budget guesthouse in Garden City,Guesthouse,20
Egypt,Cairo,Nile Ritz-Carlton,5-star luxury hotel with Nile views,Luxury Hotel,260
Egypt,Cairo,Wake Up! Cairo,Budget hostel near Midan El Tahrir,Hostel,12
Egypt,Dahab,Dahab Off‑beat Hostel,"Relaxed hostel popular with backpackers, offering a simple, authentic desert‑side experience.",Hostel,~$15
Egypt,Dahab,My Hostel in Dahab,"Budget hostel 100m from beach, dive tours",Hostel,10
Egypt,Dahab,Rihana Guest House,"Guesthouse near Egla Bay, private rooms",Guesthouse,20
Egypt,Dahab,Nesima Resort,"4-star hotel with dive center, near lagoon",Hotel,70
Egypt,Dahab,Le Meridien Dahab,5-star luxury resort with sea views,Luxury Hotel,160
Egypt,Dahab,Dahab Divers Hostel,"Budget hostel with dive center, near beach",Hostel,12
Egypt,Dahab,Sheikh Ali Resort,"4-star hotel with pool, near Blue Hole",Hotel,75
Egypt,Dahab,Coral Coast Hotel,3-star hotel with beach access,Hotel,50
Egypt,Dahab,Dahab Paradise,Guesthouse with mountain views,Guesthouse,30
Egypt,Giza,Life Pyramids Inn,"Budget guesthouse with pyramid views, rooftop",Guesthouse,25
Egypt,Giza,Giza Hostel,"Simple hostel near Sphinx, shared dorms",Hostel,12
Egypt,Giza,Marriott Mena House,"5-star luxury hotel near Pyramids, with pool",Luxury Hotel,230
Egypt,Giza,Le Meridien Pyramids,"4-star hotel with pyramid views, spa",Hotel,100
Egypt,Giza,Pyramids View Inn,Guesthouse with rooftop pyramid views,Guesthouse,30
Egypt,Giza,Guardian Guest House,Budget guesthouse near Pyramids,Guesthouse,20
Egypt,Giza,Giza Pyramids Inn,Budget guesthouse near Sphinx,Guesthouse,25
Egypt,Giza,Pyramids Hostel,Simple hostel with pyramid views,Hostel,11
Egypt,Hurghada,Hurghada Beach Hostel,Casual hostel near the beach with local charm and a social atmosphere.,Hostel,~$20
Egypt,Hurghada,Steigenberger Al Dau Beach Hotel,"Beachfront hotel with extensive facilities including pools, spa, and dining—ideal for relaxation.",4‑5‑star Hotel,~$150
Egypt,Hurghada,Hurghada Hostel,"Budget hostel near marina, shared facilities",Hostel,12
Egypt,Hurghada,Sea View Guesthouse,"Simple guesthouse near beach, with terrace",Guesthouse,25
Egypt,Hurghada,Pickalbatros Citadel,5-star all-inclusive resort on Red Sea,Luxury Hotel,200
Egypt,Hurghada,Hotel Sindbad,4-star beachfront hotel with pool,Hotel,85
Egypt,Hurghada,Golden Beach Resort,4-star all-inclusive resort with beach,Hotel,90
Egypt,Hurghada,Marina Guesthouse,Cozy guesthouse near Hurghada Marina,Guesthouse,30
Egypt,Hurghada,The Oberoi Sahl Hasheesh,5-star luxury resort with private beach,Luxury Hotel,230
Egypt,Hurghada,Hurghada Guesthouse,Simple guesthouse near downtown,Guesthouse,20
Egypt,Luxor,Luxor Medina Hostel,"Budget‑friendly hostel with a true local feel, set in the historic heart of Luxor.",Hostel,~$18
Egypt,Luxor,Luxor Riad Guesthouse,"Authentic riad near the temples, offering local cuisine and traditional decor.",Guesthouse/Riad,~$20
Egypt,Luxor,Sofitel Winter Palace Luxor,Heritage hotel boasting lavish décor and Nile views,5‑star Luxury,~$280
Egypt,Luxor,Winter Palace Hotel,"Historic colonial-era hotel on the Nile, known for its classic architecture and proximity to ancient sites. Wikipedia",Luxury Hotel,~$200
